(1342188410.585027, '\rL: 2\n')
(1342188410.588776, '\rGot configuration message of type I\n')
(1342188410.596215, '\rL: 48\n')
(1342188411.47274, '2f\xa9%')
(1342188411.472779, '2F\xb4%')
(1342188411.47279, '2t\xb6%')
(1342188411.481005, '2C\xc1%')
(1342188411.490952, '2o=&')
(1342188411.490992, '+')
(1342188411.8927, '2I\x0f[')
(1342188411.892737, '2P\x13[')
(1342188411.900903, '2R*[')
(1342188411.900932, 'rIN')
(1342188411.900943, 'ci2[')
(1342188411.91094, '2f\xa6[')
(1342188411.910991, '2F\xae[')
(1342188411.911015, '2t\xb0[')
(1342188411.911035, '2C\xbc[')
(1342188411.911076, '2o\x19\\')
(1342188411.911099, '+')
(1342188414.230814, '2fK\x85')
(1342188414.230861, '2FS\x85')
(1342188414.230878, '2tV\x85')
(1342188414.230889, '2Ca\x85')
(1342188414.2309, '2o\xbe\x85')
(1342188414.23091, '+')
(1342188414.619907, '\rL: 48\n')
(1342188414.681356, '2f\xa8\xbf')
(1342188414.692656, '2F\xb2\xbf')
(1342188414.692701, '2t\xb5\xbf')
(1342188414.696721, '2C\xc0\xbf')
(1342188414.696753, '2o;\xc0')
(1342188414.696765, '+')
(1342188414.696776, '2I0\xc1')
(1342188414.696786, '2P3\xc1')
(1342188414.696796, '2RF\xc1')
(1342188414.696807, 'rIN')
(1342188414.696817, 'ciN\xc1')
(1342188417.332728, '2I<\x13')
(1342188417.332768, '2P@\x13')
(1342188417.332932, '2RS\x13')
(1342188417.332948, 'rIN')
(1342188417.332959, 'ci[\x13')
(1342188417.332975, '2f\xb4\x13')
(1342188417.332987, '2F\xbc\x13')
(1342188417.332998, '2t\xbe\x13')
(1342188417.351068, '2C\xc9\x13')
(1342188417.351121, '2o&\x14')
(1342188417.351142, '+')
(1342188417.692709, '2I=A')
(1342188417.692746, '2P@A')
(1342188417.710855, '2RXA')
(1342188417.710912, 'rIN')
(1342188417.710942, 'ci_A')
(1342188418.628871, '\rL: 48\n')
(1342188418.932765, '2Iu\xdf')
(1342188418.942783, '2Px\xdf')
(1342188418.951133, '2R\x91\xdf')
(1342188418.951182, 'rIN')
(1342188418.951201, 'ci\x99\xdf')
(1342188423.96096, '2I\xb7a')
(1342188423.961005, '2P\xbaa')
(1342188423.970981, '2R\xd2a')
(1342188423.971031, 'rIN')
(1342188423.971059, 'ci\xdaa')
(1342188424.132733, '2f\xa9w')
(1342188424.132772, '2F\xb4w')
(1342188424.132784, '2t\xb6w')
(1342188424.153332, '2C\xc1w')
(1342188424.153357, '2o<x')
(1342188424.153368, '+')
(1342188428.352741, '2fB\x94')
(1342188428.370919, '2FJ\x94')
(1342188428.370977, '2tM\x94')
(1342188428.371009, '2CX\x94')
(1342188428.371037, '2o\xb5\x94')
(1342188428.371062, '+')
