(1343398682.372194, '\rL: 2\n')
(1343398682.372305, '\rGot configuration message of type I\n')
(1343398682.388474, '\rL: 48\n')
(1343398682.91384, '2I\xa3\xa2')
(1343398682.913895, '2P\xa7\xa2')
(1343398682.932504, '2R\xb0\xa2')
(1343398682.932583, '2S\x1e\x00\x00\x00\x0c\xb3\xa2')
(1343398683.923827, '2I\xa2"')
(1343398683.923881, '2P\xa6"')
(1343398683.933721, '2R\xaf"')
(1343398683.933786, '2S\x1e\x00\x00\x00\r\xb2"')
(1343398684.913907, '2I\xa1\xa2')
(1343398684.92383, '2P\xa5\xa2')
(1343398684.933809, '2R\xae\xa2')
(1343398684.933848, '2S\x1e\x00\x00\x00\x0e\xb1\xa2')
(1343398685.193892, '2I\xa0\xc6')
(1343398685.193947, '2P\xa4\xc6')
(1343398685.20395, '2R\xbb\xc6')
(1343398685.203994, 'rIN')
(1343398685.204018, 'D{\xc3\xc6')
(1343398685.204041, 'ci\xc5\xc6')
(1343398685.204081, 'S\x7f=\xc7')
(1343398685.204104, '2f?\xc7')
(1343398685.204126, '2FH\xc7')
(1343398685.204147, '2tJ\xc7')
(1343398685.204168, '2CM\xc7')
(1343398685.204189, '2o\xaa\xc7')
(1343398685.20421, '+')
(1343398685.901831, '2I\xa0"')
(1343398685.912828, '2P\xa4"')
(1343398685.912865, '2R\xad"')
(1343398685.912892, '2S\x1e\x00\x00\x00\x0f\xaf"')
(1343398686.404391, '\rL: 48\n')
(1343398686.901846, '2I\x9f\xa2')
(1343398686.913921, '2P\xa3\xa2')
(1343398686.923928, '2R\xac\xa2')
(1343398686.92393, '2S\x1e\x00\x00\x00\x10\xae\xa2')
(1343398687.923177, '2I\x9e"')
(1343398687.923231, '2P\xa1"')
(1343398687.933784, '2R\xab"')
(1343398687.933838, '2S\x1e\x00\x00\x00\x11\xad"')
(1343398688.533888, 'S\x80\xa9r')
(1343398688.533943, '2f\xacr')
(1343398688.533967, '2F\xb6r')
(1343398688.533989, '2t\xb8r')
(1343398688.53401, '2C\xbbr')
(1343398688.542323, '2o7s')
(1343398688.542357, '+')
(1343398688.542378, '2IIt')
(1343398688.542398, '2PMt')
(1343398688.542417, '2R`t')
(1343398688.542437, 'rIN')
(1343398688.542456, 'D\\ht')
(1343398688.542476, 'cikt')
(1343398688.901831, '2I\x9c\xa2')
(1343398688.913803, '2P\xa0\xa2')
(1343398688.923098, '2R\xaa\xa2')
(1343398688.923156, '2S\x1e\x00\x00\x00\x12\xac\xa2')
(1343398689.913947, '2I\x9b"')
(1343398689.914002, '2P\x9f"')
(1343398689.921858, '2R\xa8"')
(1343398689.921897, '2S\x1e\x00\x00\x00\x13\xab"')
(1343398690.420313, '\rL: 48\n')
(1343398690.901832, '2I\x9a\xa2')
(1343398690.91282, '2P\x9e\xa2')
(1343398690.912856, '2R\xa7\xa2')
(1343398690.912883, '2S\x1e\x00\x00\x00\x14\xaa\xa2')
(1343398691.911531, '2I\x87"')
(1343398691.911586, '2P\x8c"')
(1343398691.91161, '2R\xa4"')
(1343398691.911631, 'rIN')
(1343398691.911653, 'D|\xac"')
(1343398691.911675, 'ci\xae"')
(1343398692.573295, '2I\x81u')
(1343398692.573359, '2P\x85u')
(1343398692.582547, '2R\x9cu')
(1343398692.582601, 'rIN')
(1343398692.582642, 'D]\xa4u')
(1343398692.58268, 'ci\xa7u')
(1343398692.901838, '2I\x98\xa2')
(1343398692.913981, '2P\x9c\xa2')
(1343398692.914018, '2R\xa5\xa2')
(1343398692.914045, '2S\x1e\x00\x00\x00\x16\xa8\xa2')
(1343398693.91389, '2I\x97"')
(1343398693.913945, '2P\x9b"')
(1343398693.923796, '2R\xa4"')
(1343398693.923835, '2S\x1e\x00\x00\x00\x17\xa7"')
(1343398694.531637, 'S\x81Cr')
(1343398694.531699, '2fFr')
(1343398694.531721, '2FNr')
(1343398694.531741, '2tPr')
(1343398694.531761, '2CSr')
(1343398694.531782, '2o\xb0r')
(1343398694.531803, '+')
(1343398694.921257, '2I\x96\xa2')
(1343398694.921322, '2P\x9a\xa2')
(1343398694.93107, '2R\xa3\xa2')
(1343398694.931187, '2S\x1e\x00\x00\x00\x18\xa5\xa2')
(1343398695.872267, 'S\x82"\x1c')
(1343398695.872322, '2f$\x1c')
(1343398695.872345, '2F/\x1c')
(1343398695.872367, '2t1\x1c')
(1343398695.872389, '2C4\x1c')
(1343398695.874041, '2o\xb0\x1c')
