(1342444614.822966, '\rL: 2\n')
(1342444614.826457, '\rGot configuration message of type I\n')
(1342444614.842168, '\rL: 48\n')
(1342444615.4727, '2I.\x15')
(1342444615.483289, '2P2\x15')
(1342444615.483338, '2RE\x15')
(1342444615.483355, 'rIN')
(1342444615.483366, 'D6M\x15')
(1342444615.483377, 'ciO\x15')
(1342444615.483398, 'S\xba\xab\x15')
(1342444615.48341, '2f\xad\x15')
(1342444615.48342, '2F\xb6\x15')
(1342444615.483431, '2t\xb8\x15')
(1342444615.484732, '2C\xc3\x15')
(1342444615.492823, '2o \x16')
(1342444615.492862, '+')
(1342444617.184713, '2Iv\xf0')
(1342444617.184752, '2Py\xf0')
(1342444617.192772, '2R\x92\xf0')
(1342444617.192825, 'rIN')
(1342444617.19284, 'D\x99\x9a\xf0')
(1342444617.192852, 'ci\x9c\xf0')
(1342444617.203427, 'S\xbb\x13\xf1')
(1342444617.203468, '2f\x15\xf1')
(1342444617.20348, '2F\x1e\xf1')
(1342444617.203491, '2t \xf1')
(1342444617.203501, '2C+\xf1')
(1342444617.203512, '2o\x88\xf1')
(1342444617.203522, '+')
(1342444618.841866, '\rL: 48\n')
(1342444620.222992, 'S\xbc\xa9s')
(1342444620.223033, '2f\xacs')
(1342444620.223045, '2F\xb6s')
(1342444620.223055, '2t\xb9s')
(1342444620.224631, '2C\xc4s')
(1342444620.22465, '2o?t')
(1342444620.224661, '+')
(1342444620.2334, '2I7u')
(1342444620.233431, '2P;u')
(1342444620.233442, '2RNu')
(1342444620.233452, 'rIN')
(1342444620.233462, 'D7Uu')
(1342444620.233471, 'ciXu')
(1342444622.343048, '2I0\x83')
(1342444622.343101, '2P4\x83')
(1342444622.344687, '2RK\x83')
(1342444622.344709, 'rIN')
(1342444622.34472, 'D8S\x83')
(1342444622.34473, 'ciU\x83')
(1342444622.504758, 'S\xbd\xc9\x97')
(1342444622.504799, '2f\xcb\x97')
(1342444622.512994, '2F\xd4\x97')
(1342444622.513033, '2t\xd6\x97')
(1342444622.513046, '2C\xe1\x97')
(1342444622.513056, '2o>\x98')
(1342444622.513067, '+')
(1342444622.869861, '\rL: 48\n')
(1342444625.494258, '2I\xd7\x14')
(1342444625.494299, '2P\xdb\x14')
(1342444625.502842, '2R\xf3\x14')
(1342444625.502916, 'rIN')
(1342444625.502943, 'D\x9a\xfa\x14')
(1342444625.502967, 'ci\xfd\x14')
(1342444625.944736, 'S\xbe\xa9Q')
(1342444625.944776, '2f\xacQ')
(1342444625.944787, '2F\xb6Q')
(1342444625.944798, '2t\xb9Q')
(1342444625.95475, '2C\xc4Q')
(1342444625.962396, '2o?R')
(1342444625.962436, '+')
(1342444629.06471, '2I\xa8\xde')
(1342444629.064768, '2P\xab\xde')
(1342444629.072836, '2R\xbe\xde')
(1342444629.072867, 'rIN')
(1342444629.072879, 'D9\xc6\xde')
(1342444629.07289, 'ci\xc9\xde')
(1342444629.072906, 'S\xbf$\xdf')
(1342444629.072917, '2f&\xdf')
(1342444629.072927, '2F/\xdf')
(1342444629.072937, '2t1\xdf')
(1342444629.072948, '2C<\xdf')
(1342444629.072958, '2o\x99\xdf')
(1342444629.072997, '+')
(1342444630.464652, '2I\xa9\x91')
(1342444630.464701, '2P\xac\x91')
(1342444630.47366, '2R\xc4\x91')
(1342444630.473714, 'rIN')
(1342444630.473735, 'D:\xcc\x91')
(1342444630.473755, 'ci\xce\x91')
(1342444633.503223, 'S\xc0\xc9\x17')
(1342444633.503296, '2f\xcb\x17')
(1342444633.512881, '2F\xd4\x17')
(1342444633.512911, '2t\xd6\x17')
(1342444633.512924, '2C\xe1\x17')
(1342444633.512934, '2o>\x18')
(1342444633.512944, '+')
(1342444637.342854, '2I\xab\x02')
(1342444637.342911, '2P\xaf\x02')
(1342444637.344695, '2R\xc6\x02')
(1342444637.344715, 'rIN')
(1342444637.344727, 'D\x9b\xce\x02')
(1342444637.344738, 'ci\xd0\x02')
(1342444639.622892, 'S\xc1\xa9%')
(1342444639.622934, '2f\xac%')
(1342444639.622945, '2F\xb6%')
(1342444639.622956, '2t\xb8%')
(1342444639.624654, '2C\xc4%')
(1342444639.624679, '2o?&')
(1342444639.624689, '+')
(1342444640.872922, '2I\xaa\xc7')
(1342444640.882943, '2P\xad\xc7')
(1342444640.882994, '2R\xc5\xc7')
(1342444640.883012, 'rIN')
(1342444640.883023, 'D;\xcc\xc7')
(1342444640.883034, 'ci\xcf\xc7')
(1342444646.823065, '2I\xa8\xbe')
(1342444646.823107, '2P\xac\xbe')
(1342444646.823119, '2R\xbf\xbe')
(1342444646.82313, 'rIN')
(1342444646.82314, 'D<\xc6\xbe')
(1342444646.823151, 'ci\xc9\xbe')
(1342444646.823167, 'S\xc2$\xbf')
(1342444646.823178, '2f&\xbf')
(1342444646.823189, '2F/\xbf')
(1342444646.823199, '2t1\xbf')
(1342444646.823209, '2C<\xbf')
(1342444646.82322, '2o\x99\xbf')
(1342444646.82323, '+')
(1342444647.883091, 'S\xc3BH')
(1342444647.883143, '2fDH')
(1342444647.884638, '2FMH')
(1342444647.884657, '2tOH')
(1342444647.884668, '2CZH')
(1342444647.89295, '2o\xb7H')
(1342444647.893001, '+')
(1342444656.884711, '2IC\xc9')
(1342444656.884757, '2PG\xc9')
(1342444656.892921, '2Ra\xc9')
(1342444656.892961, 'rIN')
(1342444656.892973, 'D\x9ci\xc9')
(1342444656.892985, 'cik\xc9')
(1342444656.893002, 'S\xc4\xbd\xc9')
(1342444656.893013, '2f\xbf\xc9')
(1342444656.902968, '2F\xcb\xc9')
(1342444656.903014, '2t\xcd\xc9')
(1342444656.903026, '2C\xd9\xc9')
(1342444656.903038, '2of\xca')
(1342444656.903048, '+')
(1342444656.903065, '2I\x01\xcb')
(1342444656.903077, '2P\x04\xcb')
(1342444656.908724, '2R\x1f\xcb')
(1342444656.908759, 'rIN')
(1342444656.908771, "D\x9d'\xcb")
(1342444656.908783, 'ci)\xcb')
(1342444656.908799, 'S\xc5y\xcb')
(1342444656.908811, '2f|\xcb')
(1342444656.908822, '2F\x89\xcb')
(1342444656.908832, '2t\x8b\xcb')
(1342444656.908843, '2C\x96\xcb')
(1342444656.908854, '2o#\xcc')
(1342444656.908864, '+')
(1342444656.916765, '2I\xb3\xcd')
(1342444656.922939, '2P\xb7\xcd')
(1342444656.928756, '2R\xd1\xcd')
(1342444656.928796, 'rIN')
(1342444656.928809, 'D\x9e\xd9\xcd')
(1342444656.92882, 'ci\xdb\xcd')
(1342444656.928837, 'S\xc6,\xce')
(1342444656.928848, '2f.\xce')
(1342444656.928859, '2F:\xce')
(1342444656.928869, '2t<\xce')
(1342444656.92888, '2CG\xce')
(1342444656.928891, '2o\xd5\xce')
(1342444656.928902, '+')
(1342444656.944705, '2I\xeb\xd0')
(1342444656.944745, '2P\xee\xd0')
(1342444656.952917, '2R\t\xd1')
(1342444656.952958, 'rIN')
(1342444656.95297, 'D\x9f\x11\xd1')
(1342444656.952982, 'ci\x14\xd1')
(1342444656.952999, 'S\xc7c\xd1')
(1342444656.953011, '2fe\xd1')
(1342444656.964212, '2Fq\xd1')
(1342444656.964239, '2ts\xd1')
(1342444656.964251, '2C~\xd1')
(1342444656.964262, '2e\xb7\xd1')
(1342444656.964273, '-')
(1342444656.964284, 'cr\xbc\xd1')
(1342444656.964294, '2In\xd2')
(1342444656.964305, '2P')
(1342444656.964315, 'q\xd2')
(1342444656.964326, '2R\x90\xd2')
(1342444656.964336, 'rIN')
(1342444656.964345, 'rFR')
(1342444656.964356, '2P\xa0\xd2')
(1342444656.964367, '2R\xa5\xd2')
(1342444656.964377, 'rIN')
(1342444656.964387, 'rFR')
(1342444656.964397, 'S\xc7\xbf\xd2')
(1342444656.964408, '2f\xc1\xd2')
(1342444656.964419, '2F\xcd\xd2')
(1342444656.96443, '2t\xcf\xd2')
(1342444656.964441, '2C\xda\xd2')
(1342444656.968789, '2oh\xd3')
(1342444656.968829, '+')
(1342444656.972761, '2I\xf5\xd4')
(1342444656.983042, '2P\xf9\xd4')
(1342444656.983085, '2R\x14\xd5')
(1342444656.983098, 'rIN')
(1342444656.983109, 'D\xa2\x1c\xd5')
(1342444656.98312, 'ci\x1e\xd5')
(1342444656.997796, 'S\xc8m\xd5')
(1342444656.997836, '2fp\xd5')
(1342444656.997849, '2F{\xd5')
(1342444656.997859, '2t~\xd5')
(1342444656.997871, '2C\x8a\xd5')
(1342444656.997882, '2o\x17\xd6')
(1342444656.997892, '+')
(1342444656.997928, '2I\xea\xd7')
(1342444657.004732, '2P\xee\xd7')
(1342444657.004771, '2R\t\xd8')
(1342444657.004783, 'rIN')
(1342444657.004794, 'D\xa3\x11\xd8')
(1342444657.004805, 'ci\x13\xd8')
(1342444657.004822, 'S\xc9b\xd8')
(1342444657.004833, '2fe\xd8')
(1342444657.004844, '2Fp\xd8')
(1342444657.004854, '2ts\xd8')
(1342444657.004865, '2C~\xd8')
(1342444657.004876, '2e\xb7\xd8')
(1342444657.004887, '-')
(1342444657.004897, 'cr\xbc\xd8')
(1342444657.014809, 'S\xc9\xda\xd8')
(1342444657.014861, '2f\xdd\xd8')
(1342444657.01488, '2F\xe8\xd8')
(1342444657.014891, '2t\xeb\xd8')
(1342444657.014902, '2C\xf6\xd8')
(1342444657.024766, '2o\x83\xd9')
(1342444657.024803, '+')
(1342444657.029739, '2I7\xda')
(1342444657.029789, '2P:')
(1342444657.029811, '\xda')
(1342444657.02983, '2RX\xda')
(1342444657.029846, 'rIN')
(1342444657.029856, 'rFR')
(1342444657.029866, '2P`\xda')
(1342444657.029877, '2Re\xda')
(1342444657.029888, 'rIN')
(1342444657.029897, 'rFR')
(1342444657.029907, '2IC\xdb')
(1342444657.029918, '2PG\xdb')
(1342444657.029929, '2Rb\xdb')
(1342444657.029939, 'rIN')
(1342444657.029949, 'D\xa6j\xdb')
(1342444657.02996, 'cim\xdb')
(1342444657.029977, 'S\xca\xbe\xdb')
(1342444657.029989, '2f\xc1\xdb')
(1342444657.029999, '2F\xcd\xdb')
(1342444657.03001, '2t\xd0\xdb')
(1342444657.030021, '2C\xdc\xdb')
(1342444657.030044, '2e\x15\xdc')
(1342444657.030055, '-')
(1342444657.030065, 'cr\x1a\xdc')
(1342444657.043091, 'S\xca\x16\xdd')
(1342444657.043136, '2f\x19\xdd')
(1342444657.043148, '2F$\xdd')
(1342444657.043159, "2t'\xdd")
(1342444657.044701, '2C2\xdd')
(1342444657.068121, '2o\xbf\xdd')
(1342444657.068173, '+')
(1342444657.068202, '2I\xb0\xde')
(1342444657.073445, '2P\xb3')
(1342444657.073511, '\xde')
(1342444657.073546, '2R\xd1\xde')
(1342444657.073577, 'rIN')
(1342444657.073605, 'rFR')
(1342444657.073633, '2P\xd9\xde')
(1342444657.07366, '2R\xde\xde')
(1342444657.073685, 'rIN')
(1342444657.073709, 'rFR')
(1342444657.083756, '2I\x98\xe0')
(1342444657.083817, '2P\x9b\xe0')
(1342444657.083843, '2R\xb6\xe0')
(1342444657.083867, 'rIN')
(1342444657.083889, 'D\xa9\xbd\xe0')
(1342444657.08391, 'ci\xc0\xe0')
(1342444657.083937, 'S\xcb\x10\xe1')
(1342444657.083957, '2f\x13\xe1')
(1342444657.083975, '2F\x1e\xe1')
(1342444657.083991, '2t!\xe1')
(1342444657.084002, '2C,\xe1')
(1342444657.084013, '2o\xb9\xe1')
(1342444657.084023, '+')
(1342444657.09675, '2I;\xe4')
(1342444657.096792, '2P?\xe4')
(1342444657.104875, '2RY\xe4')
(1342444657.104917, 'rIN')
(1342444657.10493, 'D\xaaa\xe4')
(1342444657.104942, 'cic\xe4')
(1342444657.10496, 'S\xcc\xb5\xe4')
(1342444657.104972, '2f\xb7\xe4')
(1342444657.104984, '2F\xc3\xe4')
(1342444657.104995, '2t\xc5\xe4')
(1342444657.105006, '2C\xd1\xe4')
(1342444657.105017, '2e\t\xe5')
(1342444657.105028, '-')
(1342444657.105039, 'cr\x0f\xe5')
(1342444657.116714, 'S\xcc0\xe5')
(1342444657.116753, '2f3\xe5')
(1342444657.116765, '2F?\xe5')
(1342444657.116776, '2tA\xe5')
(1342444657.116788, '2CL\xe5')
(1342444657.116799, '2o\xd9\xe5')
(1342444657.116809, '+')
(1342444657.125891, '2I;\xe6')
(1342444657.125976, '2P>')
(1342444657.125988, '\xe6')
(1342444657.126, '2R\\\xe6')
(1342444657.12601, 'rIN')
(1342444657.12602, 'rFR')
(1342444657.126031, '2Pd\xe6')
(1342444657.126042, '2Ri\xe6')
(1342444657.126052, 'rIN')
(1342444657.126062, 'rFR')
(1342444657.126072, '2IJ\xe7')
(1342444657.126083, '2PM\xe7')
(1342444657.126094, '2Rh\xe7')
(1342444657.126105, 'rIN')
(1342444657.126115, 'D\xado\xe7')
(1342444657.126127, 'cir\xe7')
(1342444657.126218, 'S\xcd\xc3\xe7')
(1342444657.126236, '2f\xc6\xe7')
(1342444657.134746, '2F\xd1\xe7')
(1342444657.134787, '2t\xd4\xe7')
(1342444657.1348, '2C\xdf\xe7')
(1342444657.134811, '2e\x18\xe8')
(1342444657.134822, '-')
(1342444657.134833, 'cr\x1d\xe8')
(1342444657.134845, '2I\xd7\xe8')
(1342444657.134855, '2P')
(1342444657.134866, '\xda\xe8')
(1342444657.134877, '2R\xf8\xe8')
(1342444657.134888, 'rIN')
(1342444657.134898, 'rFR')
(1342444657.134909, '2P\x01\xe9')
(1342444657.13492, '2R\x07\xe9')
(1342444657.134931, 'rIN')
(1342444657.134941, 'rFR')
(1342444657.134952, 'S\xcd"\xe9')
(1342444657.134963, '2f$\xe9')
(1342444657.134974, '2F0\xe9')
(1342444657.134985, '2t3\xe9')
(1342444657.134996, '2C>\xe9')
(1342444657.144806, '2o\xcb\xe9')
(1342444657.144846, '+')
(1342444657.164356, '2I\x87\xeb')
(1342444657.164389, '2P\x8b\xeb')
(1342444657.168778, '2R\xa6\xeb')
(1342444657.168815, 'rIN')
(1342444657.168833, 'D\xb0\xad\xeb')
(1342444657.168845, 'ci\xb0\xeb')
(1342444657.168861, 'S\xce\xff\xeb')
(1342444657.168873, '2f\x02\xec')
(1342444657.168884, '2F\x0e\xec')
(1342444657.168894, '2t\x10\xec')
(1342444657.168905, '2C\x1b\xec')
(1342444657.168917, '2o\xa9\xec')
(1342444657.168927, '+')
(1342444657.168941, '2IB\xed')
(1342444657.168996, '2PE\xed')
(1342444657.16901, '2R`\xed')
(1342444657.16902, 'rIN')
(1342444657.16903, 'D\xb1g\xed')
(1342444657.169041, 'cij\xed')
(1342444657.169056, 'S\xcf\xbb\xed')
(1342444657.169067, '2f\xbe\xed')
(1342444657.169077, '2F\xc9\xed')
(1342444657.169088, '2t\xcc\xed')
(1342444657.169099, '2C\xd7\xed')
(1342444657.182864, '2od\xee')
(1342444657.182925, '+')
(1342444657.197966, '2I\xd6\xf0')
(1342444657.198034, '2P\xda\xf0')
(1342444657.200759, '2R\xf4\xf0')
(1342444657.200789, 'rIN')
(1342444657.200801, 'D\xb2\xfc\xf0')
(1342444657.200812, 'ci\xfe\xf0')
(1342444657.200829, 'S\xd0O\xf1')
(1342444657.20084, '2fQ\xf1')
(1342444657.20085, '2F]\xf1')
(1342444657.200872, '2t_\xf1')
(1342444657.200883, '2Cj\xf1')
(1342444657.204797, '2e\xa3\xf1')
(1342444657.204836, '-')
(1342444657.204848, 'cr\xa8\xf1')
(1342444657.204859, 'S\xd0\xc6\xf1')
(1342444657.20487, '2f\xc9\xf1')
(1342444657.204881, '2F\xd5\xf1')
(1342444657.204892, '2t\xd7\xf1')
