(1343139910.398488, '2I\r\xb3')
(1343139910.3985779, '2P\x10\xb3')
(1343139910.398608, '2R+\xb3')
(1343139910.398633, 'rIN')
(1343139910.3986571, 'D\x9c3\xb3')
(1343139910.3986809, 'ci5\xb3')
(1343139910.398705, 'Sv\xaf\x1f')
(1343139910.3987291, '2f\xb1\x1f')
(1343139910.3987529, '2F\xbd\x1f')
(1343139910.3987761, '2t\xbf\x1f')
(1343139910.3987999, '2C\xca\x1f')
(1343139910.398823, '2oF ')
(1343139910.3988459, '+')
(1343139910.4179151, '\rL: 10\n')
(1343139910.417968, '\rGot configuration message of type P\n')
(1343139910.4179969, '\rSetting prefix aaaa::\n')
(1343139910.4180219, '\rcreated a new RPL dag\n')
(1343139910.426698, '\rL: 2\n')
(1343139910.426765, '\rGot configuration message of type I\n')
(1343139910.445586, '\rL: 48\n')
(1343139911.6584361, '2I\xbd\xf0')
(1343139911.65851, '2P\xc0\xf0')
(1343139911.65854, '2R\xd5\xf0')
(1343139911.6585701, 'rIN')
(1343139911.658596, 'D\x9d\xde\xf0')
(1343139911.658622, 'ci\xe0\xf0')
(1343139912.5373709, '2I\xf8`')
(1343139912.5374401, '2P\xfb`')
(1343139912.5374689, '2R\x17a')
(1343139912.537493, 'rIN')
(1343139912.5375171, 'DI a')
(1343139913.4780099, 'Sw\xaf\xd9')
(1343139913.4780631, '2f\xb1\xd9')
(1343139913.4780779, '2F\xbc\xd9')
(1343139913.478091, '2t\xbf\xd9')
(1343139913.4781029, '2C\xca\xd9')
(1343139913.487325, '2oE\xda')
(1343139913.4873581, '+')
(1343139913.4980309, '2IW\xdb')
(1343139913.498075, '2P[\xdb')
(1343139913.4981029, '2Rp\xdb')
(1343139913.4981279, 'rIN')
(1343139913.498153, 'D\x9ey\xdb')
(1343139913.4981771, 'ci|\xdb')
(1343139914.4219699, '\rL: 48\n')
(1343139916.3772421, '2I\xcfL')
(1343139916.3773191, '2P\xd3L')
(1343139916.3773639, '2R\xedL')
(1343139916.3773899, 'rIN')
(1343139916.3882301, 'D\x9f\xf6L')
(1343139916.388278, 'ci\xf8L')
(1343139916.3883071, '2I\xe8M')
(1343139916.3883331, '2P\xebM')
(1343139916.3883581, '2R\x01N')
(1343139916.388382, 'rIN')
(1343139916.3884051, 'rNU')
(1343139916.667521, '2I\xc8p')
(1343139916.6675711, '2P\xcbp')
(1343139916.667654, '2R\xdfp')
(1343139916.6676819, 'rIN')
(1343139916.667707, 'D\xa0\xe7p')
(1343139916.6677239, 'ci\xe9p')
(1343139916.667748, 'SxOq')
(1343139916.6677611, '2fQq')
(1343139916.6677771, '2FYq')
(1343139916.667788, '2t[q')
(1343139916.6677999, '2Cfq')
(1343139916.6678121, '2o\xb9q')
(1343139916.6678231, '+')
(1343139918.4221489, '\rL: 48\n')
(1343139918.997479, '2I\x8b\x9b')
(1343139918.9975469, '2P\x8e\x9b')
(1343139918.997576, '2R\xa9\x9b')
(1343139918.997602, 'rIN')
(1343139918.997628, 'DK\xb2\x9b')
(1343139920.4678791, '2IXX')
(1343139920.4679301, '2P[X')
(1343139920.4679451, '2RnX')
(1343139920.467958, 'rIN')
(1343139920.4679699, 'rNU')
(1343139920.487462, '2I:Y')
(1343139920.48752, '2P>Y')
(1343139920.487535, '2RQY')
(1343139920.4875469, 'rIN')
(1343139920.4875591, 'rNU')
(1343139921.597466, 'Sy\xaf\xe6')
(1343139921.5975239, '2f\xb1\xe6')
(1343139921.5975449, '2F\xbc\xe6')
(1343139921.5975621, '2t\xbe\xe6')
(1343139921.597579, '2C\xc9\xe6')
(1343139921.5975959, '2oE\xe7')
(1343139921.5976119, '+')
(1343139923.9982309, '2I\xeb\x1b')
(1343139923.9983051, '2P\xef\x1b')
(1343139923.9983349, '2R\n\x1c')
(1343139923.9983599, 'rIN')
(1343139923.9983859, 'D\xa2\x13\x1c')
(1343139923.9984109, 'ci\x15\x1c')
(1343139924.1982989, '2I\xec5')
(1343139924.1983681, '2P\xef5')
(1343139924.1983969, '2R\x056')
(1343139924.1984229, 'rIN')
