(1343290208.8445711, '\rL: 10\n')
(1343290208.8446419, '\rGot configuration message of type P\n')
(1343290208.8446701, '\rSetting prefix aaaa::\n')
(1343290208.8446929, '\rcreated a new RPL dag\n')
(1343290208.852762, '\rL: 2\n')
(1343290208.8528199, '\rGot configuration message of type I\n')
(1343290208.867312, '\rL: 48\n')
(1343290208.984302, '2I\xc0:')
(1343290208.98435, '2P\xc3:')
(1343290208.9844129, '2R\xde:')
(1343290208.984442, 'rIN')
(1343290208.984467, 'D\x82\xe7:')
(1343290208.9844921, 'ci\xe9:')
(1343290209.7343309, '2Ii\x9a')
(1343290209.734396, '2Pm\x9a')
(1343290209.7344241, '2R\x83\x9a')
(1343290209.734448, 'rIN')
(1343290209.7344711, 'rNU')
(1343290209.734494, '2I[\x9b')
(1343290209.7345171, '2P^\x9b')
(1343290209.73454, '2Rs\x9b')
(1343290209.7345631, 'rIN')
(1343290209.734586, 'D\x83|\x9b')
(1343290209.7346101, 'ci~\x9b')
(1343290211.165256, 'S\x02\xb0Q')
(1343290211.1653161, '2f\xb2Q')
(1343290211.165343, '2F\xbeQ')
(1343290211.1653669, '2t\xc0Q')
(1343290211.165391, '2C\xcbQ')
(1343290211.1654141, '2oGR')
(1343290211.165436, '+')
(1343290211.174686, '2IWS')
(1343290211.1747279, '2PZS')
(1343290211.1747711, '2RpS')
(1343290211.1747949, 'rIN')
(1343290211.174819, 'D\x84xS')
(1343290211.1748419, 'ci{S')
(1343290212.851526, '\rL: 48\n')
(1343290213.854393, '2IM\xaa')
(1343290213.854449, '2PP\xaa')
(1343290213.8544769, '2Rj\xaa')
(1343290213.854501, 'rIN')
(1343290213.854526, 'D\x85s\xaa')
(1343290213.8545511, 'ciu\xaa')
(1343290213.873986, '2Iz\xab')
(1343290213.874032, '2P}\xab')
(1343290213.874079, '2R\x93\xab')
(1343290213.874104, 'rIN')
(1343290213.8741281, 'rNU')
(1343290213.9541221, '2IF\xb6')
(1343290213.9541819, '2PI\xb6')
(1343290213.95421, '2R\\\xb6')
(1343290213.9542351, 'rIN')
(1343290213.9542601, 'D\x86e\xb6')
