(1343291514.017855, '\rL: 2\n')
(1343291514.024596, '\rGot configuration message of type I\n')
(1343291514.042527, '\rL: 48\n')
(1343291518.066037, '\rL: 48\n')
(1343291522.048528, '\rL: 48\n')
(1343291533.617879, 'S\xa4\xa8G')
(1343291533.617938, '2f\xaaG')
(1343291533.617962, '2F\xb5G')
(1343291533.617985, '2t\xb7G')
(1343291533.618007, '2C\xc2G')
(1343291533.618028, '2o>H')
(1343291533.618048, '+')
(1343291538.177847, '2I\x16\x91')
(1343291538.186967, '2P\x19\x91')
(1343291538.197083, '2R4\x91')
(1343291538.19714, 'rIN')
(1343291538.197191, 'D\x0e;\x91')
(1343291538.197233, 'ci>\x91')
(1343291538.198786, 'S\xa5\x8e\x91')
(1343291538.198853, '2f\x90\x91')
(1343291538.198908, '2F\x9c\x91')
(1343291538.198958, '2t\x9e\x91')
(1343291538.199006, '2C\xa9\x91')
(1343291538.199053, '2o6\x92')
(1343291538.199097, '+')
(1343291538.201762, '2I\xbf\x93')
(1343291538.206993, '2P\xc2\x93')
(1343291538.207048, '2R\xdc\x93')
(1343291538.207091, 'rIN')
(1343291538.207132, 'D\x0f\xe4\x93')
(1343291538.207172, 'ci\xe6\x93')
(1343291538.218765, 'S\xa66\x94')
(1343291538.218832, '2f8\x94')
(1343291538.218882, '2FD\x94')
(1343291538.218928, '2tF\x94')
(1343291538.218973, '2CQ\x94')
(1343291538.219018, '2o\xdf\x94')
(1343291538.219061, '+')
(1343291538.222013, '2I\xa3\x95')
(1343291538.222056, '2P\xa6\x95')
(1343291538.222081, '2R\xc0\x95')
(1343291538.222103, 'rIN')
(1343291538.222125, 'D\x10\xc8\x95')
(1343291538.222148, 'ci\xcb\x95')
(1343291538.222179, 'S\xa7\x1a\x96')
(1343291538.222202, '2f\x1d\x96')
(1343291538.222224, '2F(\x96')
(1343291538.222246, '2t+\x96')
(1343291538.222268, '2C6\x96')
(1343291538.225817, '2o\xc3\x96')
(1343291538.225851, '+')
(1343291538.237218, '2Iw\x97')
(1343291538.237894, '2Pz\x97')
(1343291538.257735, '2R\x96\x97')
(1343291538.257772, 'rIN')
(1343291538.257802, 'D\x11\x9e\x97')
(1343291538.257826, 'ci\xa0\x97')
(1343291538.257858, 'S\xa8\xf0\x97')
(1343291538.257881, '2f\xf2\x97')
(1343291538.257903, '2F\xfe\x97')
(1343291538.257926, '2t\x01\x98')
(1343291538.257949, '2!\x0c\x98')
(1343291538.25797, '-')
(1343291538.257991, 'cr\x10\x98')
(1343291538.258014, 'S\xa8\x9c\x98')
(1343291538.258037, '2f\x9f\x98')
(1343291538.258059, '2F\xaa\x98')
(1343291538.258081, '2t\xad\x98')
(1343291538.258103, '2C\xb8\x98')
(1343291538.258125, '2oE\x99')
(1343291538.258146, '+')
(1343291538.258174, '2I\xd9\x99')
